room_type,bedrooms,number_of_reviews,review_scores_value,price,amenities
Private room,1,29,4.72,$37.00,"[""Microwave"", ""Stove"", ""Coffee maker"", ""Long term stays allowed"", ""Essentials"", ""Oven"", ""BBQ grill"", ""Lock on bedroom door"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Fire extinguisher"", ""Free street parking"", ""Air conditioning"", ""Extra pillows and blankets"", ""Dishes and silverware"", ""Refrigerator"", ""Bed linens"", ""Cooking basics"", ""Luggage dropoff allowed"", ""Iron"", ""Lockbox"", ""Shampoo"", ""Kitchen"", ""Wifi""]"
Private room,1,2,,$37.00,"[""Essentials"", ""Lock on bedroom door"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Fire extinguisher"", ""Kitchen"", ""Private entrance"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,0,,$37.00,"[""Hair dryer"", ""Essentials"", ""Iron"", ""Breakfast"", ""Heating"", ""Shampoo"", ""Smoke alarm"", ""Fire extinguisher"", ""Kitchen"", ""Hangers"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,1,2,$37.00,"[""Lock on bedroom door"", ""Heating"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,1,5,$37.00,"[""Essentials"", ""Oven"", ""Iron"", ""Lock on bedroom door"", ""Heating"", ""Shampoo"", ""Kitchen"", ""Wifi"", ""Long term stays allowed""]"
Private room,1,3,5,$37.00,"[""First aid kit"", ""Essentials"", ""Iron"", ""Lock on bedroom door"", ""Heating"", ""Shampoo"", ""Smoke alarm"", ""TV"", ""Free street parking"", ""Hangers"", ""Dryer"", ""Washer"", ""Wifi"", ""Carbon monoxide alarm"", ""Air conditioning""]"
Private room,1,13,5,$37.00,"[""Microwave"", ""Stove"", ""Coffee maker"", ""Carbon monoxide alarm"", ""Window AC unit"", ""Essentials"", ""Hot water kettle"", ""Dedicated workspace"", ""Oven"", ""Toaster"", ""Freezer"", ""Lock on bedroom door"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Free street parking"", ""Private entrance"", ""Security cameras on property"", ""Cleaning products"", ""Dishes and silverware"", ""Bathtub"", ""Refrigerator"", ""TV"", ""Bed linens"", ""Cooking basics"", ""Hangers"", ""Room-darkening shades"", ""Iron"", ""Shampoo"", ""Ethernet connection"", ""Kitchen"", ""Wifi""]"
Private room,1,7,4.29,$37.00,"[""First aid kit"", ""Stove"", ""Coffee maker"", ""Smart lock"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Essentials"", ""Oven"", ""Freezer"", ""Lock on bedroom door"", ""Hot water"", ""Heating"", ""Smoke alarm"", ""Fire extinguisher"", ""Free street parking"", ""Keurig coffee machine"", ""Security cameras on property"", ""Extra pillows and blankets"", ""Cleaning products"", ""Dishes and silverware"", ""Ceiling fan"", ""Bathtub"", ""Refrigerator"", ""TV"", ""Bed linens"", ""Cooking basics"", ""Hangers"", ""Free washer \u2013 In building"", ""Iron"", ""Kitchen"", ""Free dryer \u2013 In building"", ""Wifi"", ""Clothing storage: closet""]"
Private room,1,0,,$37.00,"[""Oven"", ""Refrigerator"", ""Microwave"", ""Hot water"", ""Heating"", ""Free street parking"", ""Bed linens"", ""Kitchen"", ""Stove"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Dishes and silverware""]"
Private room,1,4,4.5,$37.00,"[""Oven"", ""Refrigerator"", ""Freezer"", ""Microwave"", ""Hot water"", ""Heating"", ""Free street parking"", ""Laundromat nearby"", ""Bed linens"", ""Kitchen"", ""Stove"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Dishes and silverware""]"
Private room,1,4,5,$37.00,"[""First aid kit"", ""Essentials"", ""Carbon monoxide alarm"", ""Cable TV"", ""Lock on bedroom door"", ""Heating"", ""Shampoo"", ""Smoke alarm"", ""Security cameras on property"", ""Fire extinguisher"", ""Kitchen"", ""Private entrance"", ""Dryer"", ""Air conditioning"", ""Washer"", ""Wifi"", ""Long term stays allowed"", ""TV with standard cable"", ""Dishes and silverware""]"
Private room,2,3,5,$37.00,"[""Rice maker"", ""Microwave"", ""Fridgedare oven"", ""Laundromat nearby"", ""Coffee maker"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Window AC unit"", ""Essentials"", ""Backyard"", ""Lock on bedroom door"", ""Hot water"", ""42\"" HDTV with Roku, standard cable"", ""Window guards"", ""Outlet covers"", ""Heating"", ""Smoke alarm"", ""Fire extinguisher"", ""Private entrance"", ""Free street parking"", ""Security cameras on property"", ""Extra pillows and blankets"", ""Host greets you"", ""Cleaning before checkout"", ""Dishes and silverware"", ""Baking sheet"", ""Bathtub"", ""Cable TV"", ""Stainless Steel Fridgedare refrigerator"", ""Bed linens"", ""Cooking basics"", ""Hangers"", ""Room-darkening shades"", ""Iron"", ""Portable fans"", ""Kitchen"", ""Wifi"", ""Fridgedare 30 inches stainless steel gas stove""]"
Private room,1,3,3,$37.00,"[""Heating"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,0,,$37.00,"[""Heating"", ""Smoke alarm"", ""Kitchen"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm""]"
Private room,1,1,4,$37.00,"[""Oven"", ""Iron"", ""Refrigerator"", ""Microwave"", ""Heating"", ""Smoke alarm"", ""Free street parking"", ""Kitchen"", ""Stove"", ""Cooking basics"", ""Hangers"", ""Air conditioning"", ""Wifi"", ""Long term stays allowed"", ""Carbon monoxide alarm"", ""Dishes and silverware""]"
Private room,1,3,4.33,$37.00,"[""Oven"", ""50\"" TV"", ""Refrigerator"", ""Microwave"", ""Heating"", ""Free street parking"", ""Kitchen"", ""Stove"", ""Hangers"", ""Wifi"", ""Long term stays allowed"", ""Dishes and silverware""]"
Private room,1,2,5,$37.00,"[""Gym"", ""Heating"", ""Smoke alarm"", ""TV"", ""Kitchen"", ""Hangers"", ""Dryer"", ""Washer"", ""Wifi"", ""Long term stays allowed"", ""Air conditioning""]"
